tidak_baku,kata_baku;
check,cek;
lagii,lagi;
sue,sial;
sebagus,bagus;
orangtepukjidat,capek;
bisakah,bisa-bisa;
jadi2,jadi;
tangani,atasi;
ntar,nanti;
brtransaksi,bertransaksi;
membantuu,bantu;
inget,ingat;
dftar,daftar;
loding,loading;
back,kembali;
financial,finansial;
blablabla,basa basi;
informatif,penuh informasi;
bbrpa,beberapa;
butut,rusak;
terosss,terus;
okk,ok;
keypad,tombol keyboard;
iseng,coba-coba;
sanggat,sangat;
pratis,praktis;
stor,setor;
keybca,key bca;
sipp,sip;
pro,professional;
ngabis,habis;
toh,tuh;
diem,diam;
tele,jauh;
mbak,mba;
background,latar belakang;
vertivikasi,verifikasi;
nlpon,telepon;
donlod,unduh;
rata²,rata-rata;
alus,halus;
bill,tagihan;
fitur²,fitur-fitur;
ngurusin,mengurus;
nghabisin,menghabiskan;
tampa,tanpa;
mantaaaap,mantap;
msukin,masukan;
ribed,ribet;
nokartu,nomor kartu;
soon,segera;
okejempolkeatas,mantap;
human,manusia;
logi,login;
lamaa,lama;
trs2an,terus-terusan;
skl,sekali;
ngurusnya,mengurus;
liyt,liat;
nsbh,nasabah;
lgy,lagi;
mengkoneksikan,menghubungkan;
dicancel,dibatalkan;
hpus,hapus;
gini2,begini;
telponan,telepon;
mantabs,mantap;
txn,terima kasih;
fingerprin,sidik jari;
wajahtersenyumlebardanmemejamkanmata,;
fiturfiturnya,fitur-fiturnya;
tul,benar;
forever,selamanya;
selanjut,selanjutnya;
gaboleh,tidak boleh;
trasaksi,transaksi;
erornya,error;
kirimkirim,kirim;
kirim²,kirim;
kereenn,keren;
sekrang,sekarang;
67k,enam puluh tujuh ribu rupiah;
esok,besok;
there,tiga;
thats,itu semua;
give,berikan;
notifications,pemberitahuan;
incoming,pendapatan;
know,tahu;
will,akan;
tmen,teman;
ag,agar;
line,garis;
masukmelipattangan,terima kasih;
tepercaya,terpercaya;
aplikaai,aplikasi;
apasi,apa sih;
load,muat;
ready,siap;
muter²,berulang;
keputus,terputus;
300juta,tiga ratus juta rupiah;
block,blok;
puya,punya;
simple2,simpel;
ngubungin,hubungkan;
klen,kalian;
diedit,edit;
drtd,daritadi;
koh,kok;
parahpadahal,parah padahal;
mbking,mobile banking;
ngaruh,pengaruh;
cust,customer;
care,menjaga;
selesai2,selesai;
kemana2,kemana-mana;
tamba,tanpa;
sihhh,sih;
updatemalah,update malah;
dngn,dengan;
5g,jaringan internet;
kzl,kesal;
kbutuhan,kebutuhan;
copas,salin dan tempel;
number,nomor;
pasilitas,fasilitas;
catet,catat;
laaaaah,lah;
pliss,tolonglah;
diadain,diadakan;
diliat,dilihat;
mantal,mantap;
